OBJECTID_1,ED_ID,ED_ENGLISH,ED_GAEILGE,COUNTY,CONTAE,PROVINCE,CENTROID_X,CENTROID_Y,GUID_,CSOED_3409,OSIED_3441,CSOED_34_1,Shape__Area,Shape__Length
1479,217078,GARRANGIBBON,Garrán Ghiobúin,TIPPERARY,Tiobraid Árann,Munster,634994.067208369,632379.053276643,2AE196291C2813A3E055000000000001,23090,217078,Garrangibbon,37086680.1306152,37010.8885236333
1480,97105,TULLAGHANBROGUE,Tulchán Bróg,KILKENNY,Cill Chainnigh,Leinster,642904.834366917,649256.618343002,2AE19629240113A3E055000000000001,07015,97105,Tullaghanbrogue,22148318.2826233,21759.1111895185
1481,47052,BISHOPSTOWN, ,CORK,Corcaigh,Munster,562552.610226368,569988.539093369,2AE196291EFC13A3E055000000000001,18078,47052,Bishopstown (Part Rural),1304028.62442017,7356.48224563829
1482,228027,MOUNT SION,Cnoc Sióin,WATERFORD,Port Láirge,Munster,660508.486269271,611939.903354111,2AE196291BAD13A3E055000000000001,24028,228027,Mount Sion,177064.791137695,1705.7196789952
1483,47091,CHURCHTOWN, ,CORK,Corcaigh,Munster,550319.822381655,613014.836548028,2AE196291F9413A3E055000000000001,18227,47091,Churchtown,39699045.8323669,36475.3374079401
1484,47215,KILPATRICK, ,CORK,Corcaigh,Munster,572824.066604759,558423.618195362,2AE1962921E813A3E055000000000001,18188,47215,Kilpatrick,12633834.838623,16993.0418759019
1485,67114,KILBENNAN, ,GALWAY,Gaillimh,Connacht,539989.85421511,759457.411536407,2AE19629237D13A3E055000000000001,27200,67114,Kilbennan,13923396.5282593,22512.1201165868
1486,117018,CASHEL, ,LEITRIM,Liatroim,Connacht,608332.280926648,790611.683894828,2AE19629171B13A3E055000000000001,28062,117018,Cashel,11326633.9280396,18153.4250010233
1487,268109,NORTH DOCK C, ,DUBLIN,Baile Átha Cliath,Leinster,716795.499312247,734827.365398364,2AE196291DB513A3E055000000000001,02078,268109,North Dock C,475480.751617432,2870.64561470357
1488,267080,DUNDRUM-SANDYFORD, ,DUBLIN,Baile Átha Cliath,Leinster,717528.513531626,726350.835456466,2AE196291D5C13A3E055000000000001,05039,267080,Dundrum-Sandyford,2572382.78216553,7372.1143844928
1489,247076,KILMORE, ,WEXFORD,Loch Garman,Leinster,698091.07110402,606124.654665349,2AE196291E7413A3E055000000000001,14111,247076,Kilmore,27084505.4814758,54362.6612442511
1490,237036,DERRYMORE, ,WESTMEATH,An Iarmhí,Leinster,659937.147391973,749928.141527201,2AE196291B7313A3E055000000000001,13067,237036,Derrymore,11168599.6287842,17444.423878694
1491,57098,KILLYGORDON, ,DONEGAL,Dún na nGall,Ulster,620963.051244823,895753.074466222,2AE1962920C513A3E055000000000001,33141,57098,Killygordon,22216537.9074707,23874.868418817
1492,157019,BALLINCHALLA,Baile an Chalaidh,MAYO,Maigh Eo,Connacht,504698.436491741,765072.8548049,2AE19629198113A3E055000000000001,29033,157019,Baile an Chalaidh,44190517.0210571,33862.6963653467
